,aha_id,appointment_booking,correction_notes,description,doctors_url,full_scorecard_url,high_performing_in_specialty,hospital_id,input_location,input_location_distance,location,name,phone,photo,photo_thumbnail,ranking,scores,sponsored,title,url
0,6610451,"{'url': 'https://www.mayoclinic.org/appointments?mc_id=us&utm_source=usnews&utm_medium=l&utm_content=medicallisting&utm_campaign=mayoclinic&geo=minnesota&placementsite=enterprise&invsrc=other&cauid=108993', 'campaign_id': 'Mayo Clinic Rochester', 'phone': '507-516-3231', 'contact_phone_override': None, 'partner': 'callrail', 'id': '6610451', 'profile_phone_override': None}",[],"Mayo Clinic in Rochester, MN is nationally ranked in 15 adult specialties and 6 pediatric specialties.",/best-hospitals/area/mn/mayo-clinic-6610451/doctors?specialty_urlname=nephrology,/best-hospitals/area/mn/mayo-clinic-6610451/nephrology,,6610451,,,"{'city': 'Rochester', 'state': {'abbreviation': 'MN', 'name': 'Minnesota'}, 'zip_code': '55902-1906', 'geolocation': {'lat': 44.0209, 'lon': -92.4816}, 'address': '1216 Second Street SW'}",Mayo Clinic,(507) 255-5123,https://www.usnews.com/dims4/USNEWS/a1b13cc/17177859217/resize/200x150^/crop/200x150+0.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fad%2Fadec708f-b657-4f9c-897d-15a2db0bacc2.jpeg,https://www.usnews.com/dims4/USNEWS/c38b53b/17177859217/resize/90x90^/crop/90x90+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fad%2Fadec708f-b657-4f9c-897d-15a2db0bacc2.jpeg,"{'specialty_name': 'Nephrology', 'rank': 1, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '100.0/100', 'title': 'Nephrology Score'}]",False,#1 in Adult Nephrology Hospitals,/best-hospitals/area/mn/mayo-clinic-6610451
1,6320180,"{'url': None, 'campaign_id': 'Johns Hopkins Hospital', 'phone': '844-741-0147', 'contact_phone_override': None, 'partner': 'callrail', 'id': '6320180', 'profile_phone_override': None}",[],"Johns Hopkins Hospital in Baltimore, MD is nationally ranked in 15 adult specialties and 10 pediatric specialties.",/best-hospitals/area/md/johns-hopkins-hospital-6320180/doctors?specialty_urlname=nephrology,/best-hospitals/area/md/johns-hopkins-hospital-6320180/nephrology,,6320180,,,"{'city': 'Baltimore', 'state': {'abbreviation': 'MD', 'name': 'Maryland'}, 'zip_code': '21287-2182', 'geolocation': {'lat': 39.296167, 'lon': -76.5919375}, 'address': '1800 Orleans Street'}",Johns Hopkins Hospital,(410) 955-5000,https://www.usnews.com/dims4/USNEWS/4ac39b5/17177859217/resize/200x150^/crop/200x150+0+58.5/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F24%2F248de5a9-a73d-42ed-af74-85196eccb253.jpg,https://www.usnews.com/dims4/USNEWS/11067dc/17177859217/resize/90x90^/crop/90x90+0+15.0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F24%2F248de5a9-a73d-42ed-af74-85196eccb253.jpg,"{'specialty_name': 'Nephrology', 'rank': 2, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '92.6/100', 'title': 'Nephrology Score'}]",False,#2 in Adult Nephrology Hospitals,/best-hospitals/area/md/johns-hopkins-hospital-6320180
2,6931755,,[],"UCLA Medical Center in Los Angeles, CA is nationally ranked in 14 adult specialties and 10 pediatric specialties.",/best-hospitals/area/ca/ucla-medical-center-6931755/doctors?specialty_urlname=nephrology,/best-hospitals/area/ca/ucla-medical-center-6931755/nephrology,,6931755,,,"{'city': 'Los Angeles', 'state': {'abbreviation': 'CA', 'name': 'California'}, 'zip_code': '90095-8358', 'geolocation': {'lat': 34.0664, 'lon': -118.446}, 'address': '757 Westwood Plaza'}",UCLA Medical Center,(310) 825-9111,https://www.usnews.com/dims4/USNEWS/c17233f/17177859217/resize/200x150^/crop/200x150+0.5+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Ffa%2Ffa58237b-6ce7-43b0-8cc5-d0dc784944f5.jpg,https://www.usnews.com/dims4/USNEWS/7a3c863/17177859217/resize/90x90^/crop/90x90+15.5+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Ffa%2Ffa58237b-6ce7-43b0-8cc5-d0dc784944f5.jpg,"{'specialty_name': 'Nephrology', 'rank': 3, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '91.1/100', 'title': 'Nephrology Score'}]",False,#3 in Adult Nephrology Hospitals,/best-hospitals/area/ca/ucla-medical-center-6931755
3,6410670,,[],"Cleveland Clinic in Cleveland, OH is nationally ranked in 15 adult specialties and 9 pediatric specialties.",/best-hospitals/area/oh/cleveland-clinic-6410670/doctors?specialty_urlname=nephrology,/best-hospitals/area/oh/cleveland-clinic-6410670/nephrology,,6410670,,,"{'city': 'Cleveland', 'state': {'abbreviation': 'OH', 'name': 'Ohio'}, 'zip_code': '44195-5108', 'geolocation': {'lat': 41.5023, 'lon': -81.6224}, 'address': '9500 Euclid Avenue'}",Cleveland Clinic,(216) 444-2200,https://www.usnews.com/dims4/USNEWS/9b4a156/17177859217/resize/200x150^/crop/200x150+0+0.5/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fa6%2Fa6f8c048-3b8b-48e0-b0c6-f69588ddb113.jpeg,https://www.usnews.com/dims4/USNEWS/b23b22b/17177859217/resize/90x90^/crop/90x90+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fa6%2Fa6f8c048-3b8b-48e0-b0c6-f69588ddb113.jpeg,"{'specialty_name': 'Nephrology', 'rank': 4, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '89.5/100', 'title': 'Nephrology Score'}]",False,#4 in Adult Nephrology Hospitals,/best-hospitals/area/oh/cleveland-clinic-6410670
4,6210024,"{'url': None, 'campaign_id': 'New York-Presbyterian Hospital', 'phone': '877-959-9136', 'contact_phone_override': None, 'partner': 'callrail', 'id': '6210024', 'profile_phone_override': None}",[],"New York-Presbyterian Hospital-Columbia and Cornell in New York, NY is nationally ranked in 15 adult specialties and 10 pediatric specialties.",/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024/doctors?specialty_urlname=nephrology,/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024/nephrology,,6210024,,,"{'city': 'New York', 'state': {'abbreviation': 'NY', 'name': 'New York'}, 'zip_code': '10065-4870', 'geolocation': {'lat': 40.7647, 'lon': -73.954}, 'address': '525 East 68th Street'}",New York-Presbyterian Hospital-Columbia and Cornell,(877) 697-9355,https://www.usnews.com/dims4/USNEWS/799979d/17177859217/resize/200x150^/crop/200x150+125.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fc5%2Fc59ee17d-fe8b-427b-87e4-ff9e409fc3d4.jpg,https://www.usnews.com/dims4/USNEWS/c3123f5/17177859217/resize/90x90^/crop/90x90+90.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2Fc5%2Fc59ee17d-fe8b-427b-87e4-ff9e409fc3d4.jpg,"{'specialty_name': 'Nephrology', 'rank': 5, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '87.7/100', 'title': 'Nephrology Score'}]",False,#5 in Adult Nephrology Hospitals,/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024
5,6930043,,[],"UCSF Medical Center in San Francisco, CA is nationally ranked in 15 adult specialties and 10 pediatric specialties.",/best-hospitals/area/ca/ucsf-medical-center-6930043/doctors?specialty_urlname=nephrology,/best-hospitals/area/ca/ucsf-medical-center-6930043/nephrology,,6930043,,,"{'city': 'San Francisco', 'state': {'abbreviation': 'CA', 'name': 'California'}, 'zip_code': '94143-0296', 'geolocation': {'lat': 37.7638, 'lon': -122.458}, 'address': '500 Parnassus Avenue'}",UCSF Medical Center,(415) 476-1000,https://www.usnews.com/dims4/USNEWS/ced3f99/17177859217/resize/200x150^/crop/200x150+0.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F94%2F94a1edcc-0f9e-4a36-b370-2383e8159149.jpeg,https://www.usnews.com/dims4/USNEWS/e452683/17177859217/resize/90x90^/crop/90x90+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F94%2F94a1edcc-0f9e-4a36-b370-2383e8159149.jpeg,"{'specialty_name': 'Nephrology', 'rank': 6, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '83.8/100', 'title': 'Nephrology Score'}]",False,#6 in Adult Nephrology Hospitals,/best-hospitals/area/ca/ucsf-medical-center-6930043
6,6140430,,[],"Massachusetts General Hospital in Boston, MA is nationally ranked in 16 adult specialties and 5 pediatric specialties.",/best-hospitals/area/ma/massachusetts-general-hospital-6140430/doctors?specialty_urlname=nephrology,/best-hospitals/area/ma/massachusetts-general-hospital-6140430/nephrology,,6140430,,,"{'city': 'Boston', 'state': {'abbreviation': 'MA', 'name': 'Massachusetts'}, 'zip_code': '02114-2696', 'geolocation': {'lat': 42.3632, 'lon': -71.0688}, 'address': '55 Fruit Street'}",Massachusetts General Hospital,(617) 726-2000,https://www.usnews.com/dims4/USNEWS/5fb9498/17177859217/resize/200x150^/crop/200x150+0.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F80%2F8071b4dc-e83f-48fb-bbb7-d2b2180d9fc3.jpeg,https://www.usnews.com/dims4/USNEWS/1587dcb/17177859217/resize/90x90^/crop/90x90+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F80%2F8071b4dc-e83f-48fb-bbb7-d2b2180d9fc3.jpeg,"{'specialty_name': 'Nephrology', 'rank': 7, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '80.8/100', 'title': 'Nephrology Score'}]",False,#7 in Adult Nephrology Hospitals,/best-hospitals/area/ma/massachusetts-general-hospital-6140430
7,6140215,,[],"Brigham and Women's Hospital in Boston, MA is nationally ranked in 11 adult specialties.",/best-hospitals/area/ma/brigham-and-womens-hospital-6140215/doctors?specialty_urlname=nephrology,/best-hospitals/area/ma/brigham-and-womens-hospital-6140215/nephrology,,6140215,,,"{'city': 'Boston', 'state': {'abbreviation': 'MA', 'name': 'Massachusetts'}, 'zip_code': '02115-6110', 'geolocation': {'lat': 42.3361, 'lon': -71.1067}, 'address': '75 Francis Street'}",Brigham and Women's Hospital,(617) 732-5500,https://www.usnews.com/dims4/USNEWS/e8f0edb/17177859217/resize/200x150^/crop/200x150+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F8e%2F8eda2e46-d71e-4562-84c6-1420589af96c.jpg,https://www.usnews.com/dims4/USNEWS/017da26/17177859217/resize/90x90^/crop/90x90+24.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F8e%2F8eda2e46-d71e-4562-84c6-1420589af96c.jpg,"{'specialty_name': 'Nephrology', 'rank': 8, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '77.0/100', 'title': 'Nephrology Score'}]",False,#8 in Adult Nephrology Hospitals,/best-hospitals/area/ma/brigham-and-womens-hospital-6140215
8,6521060,,[],"Vanderbilt University Medical Center in Nashville, TN is nationally ranked in 5 adult specialties and 10 pediatric specialties.",/best-hospitals/area/tn/vanderbilt-university-medical-center-6521060/doctors?specialty_urlname=nephrology,/best-hospitals/area/tn/vanderbilt-university-medical-center-6521060/nephrology,,6521060,,,"{'city': 'Nashville', 'state': {'abbreviation': 'TN', 'name': 'Tennessee'}, 'zip_code': '37232-2102', 'geolocation': {'lat': 36.1413, 'lon': -86.8018}, 'address': '1211 Medical Center Drive'}",Vanderbilt University Medical Center,(615) 322-5000,https://www.usnews.com/dims4/USNEWS/5bddeb9/17177859217/resize/200x150^/crop/200x150+16.5+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F6e%2F6e5e5f64-2c07-42db-8405-c91e730e48a0.jpg,https://www.usnews.com/dims4/USNEWS/fe8a573/17177859217/resize/90x90^/crop/90x90+25.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F6e%2F6e5e5f64-2c07-42db-8405-c91e730e48a0.jpg,"{'specialty_name': 'Nephrology', 'rank': 9, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '73.1/100', 'title': 'Nephrology Score'}]",False,#9 in Adult Nephrology Hospitals,/best-hospitals/area/tn/vanderbilt-university-medical-center-6521060
9,6930444,,[],"Cedars-Sinai Medical Center in Los Angeles, CA is nationally ranked in 12 adult specialties.",/best-hospitals/area/ca/cedars-sinai-medical-center-6930444/doctors?specialty_urlname=nephrology,/best-hospitals/area/ca/cedars-sinai-medical-center-6930444/nephrology,,6930444,,,"{'city': 'Los Angeles', 'state': {'abbreviation': 'CA', 'name': 'California'}, 'zip_code': '90048-1865', 'geolocation': {'lat': 34.0752, 'lon': -118.38}, 'address': '8700 Beverly Boulevard'}",Cedars-Sinai Medical Center,(800) 233-2771,https://www.usnews.com/dims4/USNEWS/8a14b62/17177859217/resize/200x150^/crop/200x150+0.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F01%2F015d6b55-8752-4f12-a3e4-85b7202f260a.jpeg,https://www.usnews.com/dims4/USNEWS/851316a/17177859217/resize/90x90^/crop/90x90+15.0+0/quality/85/?url=http%3A%2F%2Fwww.usnews.com%2Fstatic%2Fhospitalmedia%2F01%2F015d6b55-8752-4f12-a3e4-85b7202f260a.jpeg,"{'specialty_name': 'Nephrology', 'rank': 10, 'is_tied': False, 'specialty_id': 'IHQNEPH', 'type': 'adult', 'is_revoked': False}","[{'score': '72.9/100', 'title': 'Nephrology Score'}]",False,#10 in Adult Nephrology Hospitals,/best-hospitals/area/ca/cedars-sinai-medical-center-6930444
